PID,SID,ID,EID,ESID,NAME,NAME_SI,NAME_TA,CXP_OLDCODE
43,5,746,1-1-24-025,025,Welikada North,වැලිකඩ උතුර,வெலிகட வடக்கு,514D
43,6,747,1-1-24-030,030,Nawala West,නාවල බටහිර,நவைளை ‍மேற்கு,520
43,7,748,1-1-24-035,035,Koswatta,කොස්වත්ත,கொஸ்வத்த,520A
43,8,749,1-1-24-040,040,Ethulkotte West,ඇතුල්කෝට්ටේ බටහිර,எத்துள்‍கோட்‍டே ‍மேற்கு,521A
43,9,750,1-1-24-045,045,Ethulkotte,ඇතුල්කෝට්ටේ,எத்துள்‍கோட்‍டே,521
43,10,751,1-1-24-050,050,Pitakotte East,පිටකෝට්ටේ නැගෙනහිර,பிட்ட‍கோட்‍டே கிழக்கு,522A
43,11,752,1-1-24-055,055,Pitakotte,පිටකෝට්ටේ,பிட்ட‍கோட்‍டே,522B
43,12,753,1-1-24-060,060,Pitakotte West,පිටකෝට්ටේ බටහිර,பிட்ட‍கோட்‍டே ‍மேற்கு,522
43,13,754,1-1-24-065,065,Nawala East,නාවල නැගෙනහිර,நாவளை கிழக்கு,520B
43,14,755,1-1-24-070,070,Nugegoda West,නුගේගොඩ බටහිර,நு‍கேகொடை ‍மேற்கு,519B
43,15,756,1-1-24-075,075,Pagoda,පා‍ගොඩ,பாகொட,519A
43,16,757,1-1-24-080,080,Nugegoda,නුගේගොඩ,நு‍கேகொடை,519
43,17,758,1-1-24-085,085,Pagoda East,පා‍ගොඩ නැගෙනහිර,பாகொட கிழக்கு,519C
43,18,759,1-1-24-090,090,Gangodavila North,ගංගොඩවිල උතුර,கங்கொடவில வடக்கு,526
43,19,760,1-1-24-095,095,Gangodavila South,ගංගොඩවිල දකුණ,கங்கொடவில தெற்கு,526A
43,20,761,1-1-24-100,100,Gangodavila East,ගංගොඩවිල නැගෙනහිර,கங்கொடவில கிழக்கு,526C
44,1,762,1-1-27-005,005,Kollupitiya,කොල්ලුපිටිය,கொள்ளுப்பிட்டிய,T9
44,2,763,1-1-27-010,010,Bambalapitiya,බම්බලපිටිය,பம்பலப்பிட்டிய,T1
44,3,764,1-1-27-015,015,Kurunduwatta,කුරුඳුවත්ත,கருவாத்‍தோட்டம்,T12
44,4,765,1-1-27-020,020,Kuppiyawatta West,කුප්පියාවත්ත බටහිර,குப்பியாவத்த ‍மேற்கு,T11
44,5,766,1-1-27-025,025,Kuppiyawatta East,කුප්පියාවත්ත නැගෙනහිර,குப்பியாவத்த கிழக்கு,T10
44,6,767,1-1-27-030,030,Dematagoda,දෙමටගොඩ,தெமட்டகொடை,T4
44,7,768,1-1-27-035,035,Wanathamulla,වනාතමුල්ල,வனாத்தமுள்ள,T18
44,8,769,1-1-27-040,040,Borella North,බොරැල්ල උතුර,பொரளை வடக்கு,T
44,9,770,1-1-27-045,045,Borella South,බොරැල්ල දකුණ,பொரளை தெற்கு,T
44,10,771,1-1-27-050,050,Gothamipura,ගෝතමිපුර,‍‍கோதமிபுர,T
44,11,772,1-1-27-055,055,Narahenpita,නාරාහේන්පිට,நாரா‍ஹேன்பிட்ட,T
44,12,773,1-1-27-060,060,Thimbirigasyaya,තිඹිරිගස්යාය,திம்பிரிகஸ்யாய,T
44,13,774,1-1-27-065,065,Milagiriya,මිලාගිරිය,மிலாகிரிய,T13
44,14,775,1-1-27-070,070,Havelock Town,හැව්ලොක් නගරය,‍‍‍‍ஹேவ்லொக் டவுன்,T
44,15,776,1-1-27-075,075,Kirula,කිරුළ,கிரு‍ள,T
44,16,777,1-1-27-080,080,Kirulapone,කිරුළපන,கிரு‍ளப்பண,T
44,17,778,1-1-27-085,085,Wellawatta North,වැල්ලවත්ත උතුර,வெல்லவத்தை வடக்கு,T
44,18,779,1-1-27-090,090,Wellawatta South,වැල්ලවත්ත දකුණ,வெல்லவத்தை தெற்கு,T
44,19,780,1-1-27-095,095,Pamankada West,බටහිර පාමංකඩ,பாமண்கடை ‍மேற்கு,T
44,20,781,1-1-27-100,100,Pamankada East,නැගෙනහිර පාමංකඩ,பாமண்கடை கிழக்கு,T
45,1,782,1-1-30-005,005,Sri Saranankara,ශ්‍රී සරණංකර,ஸ்ரீ சரணங்கார,538C
45,2,783,1-1-30-010,010,Vilawala,විලවල,விலவல,537
45,3,784,1-1-30-015,015,Dutugemunu,දුටුගැමුණු,துட்டுகெமுணு,537A
45,4,785,1-1-30-020,020,Kohuwala,කොහුවල,கொஹுவலை,537B
45,5,786,1-1-30-025,025,Kalubowila,කළුබෝවිල,களு‍போவிலை,538
45,6,787,1-1-30-030,030,Hathbodhiya,හත්බෝධිය,ஹத்‍போதிய,538B
45,7,788,1-1-30-035,035,Galwala,ගල්වල,கல்வள,538A
45,8,789,1-1-30-040,040,Dehiwala West,දෙහිවල බටහිර,தெஹிவளை ‍மேற்கு,540A
45,9,790,1-1-30-045,045,Dehiwala East,දෙහිවල නැගෙනහිර,தெஹிவளை கிழக்கு,540
45,10,791,1-1-30-050,050,Udyanaya,උද්‍යානය,உத்யாணய,536A
45,11,792,1-1-30-055,055,Nedimala,නැඳිමාල,நெதிமால,536
45,12,793,1-1-30-060,060,Malwatta,මල්වත්ත,மல்வத்த,539/42A
45,13,794,1-1-30-065,065,Jayathilaka,ජයතිලක,ஜயதிலக்க,540B
45,14,795,1-1-30-070,070,Karagampitiya,කරගම්පිටිය,கரகம்பிட்டிய,539/42
45,15,796,1-1-30-075,075,Kawdana East,කවුඩාන නැගෙනහිර,கவ்டாணா கிழக்கு,539/42B
46,1,797,1-1-31-005,005,Mount Lavinia,ගල්කිස්ස,மனிட்லாவனியா,541
46,2,798,1-1-31-010,010,Kawdana West,කවුඩාන බටහිර,கவ்டாணா ‍மேற்கு,539/42C
46,3,799,1-1-31-015,015,Watarappala,වටරප්පල,வட்டராப்பல,544
46,4,800,1-1-31-020,020,Wathumulla,වතුමුල්ල,வத்துமுள்ள,544A
46,5,801,1-1-31-025,025,Katukurunduwatta,කටුකුරුඳුවත්ත,கட்டுகுருத்த,545A
46,6,802,1-1-31-030,030,Attidiya North,අත්තිඩිය උතුර,அத்திடிய வடக்கு,543
46,7,803,1-1-31-035,035,Attidiya South,අත්තිඩිය දකුණ,அத்திடிய தெற்கு,543B
46,8,804,1-1-31-040,040,Piriwena,පිරිවෙන,பிரிவெண,545
46,9,805,1-1-31-045,045,Wedikanda,වෙඩිකන්ද,வெடிகந்த,546A
46,10,806,1-1-31-050,050,Vihara,විහාර,விஹார‍,546B
46,11,807,1-1-31-055,055,Rathmalana West,රත්මලාන බටහිර,இரத்மளாணை ‍மேற்கு,546
46,12,808,1-1-31-060,060,Rathmalana East,රත්මලාන නැගෙනහිර,இரத்மளாணை கிழக்கு,546C
46,13,809,1-1-31-065,065,Kandawala,කඳවල,கந்தவள,543A
47,1,810,1-1-33-005,005,Angulana North,අඟුලාන උතුර,அங்குலாண வடக்கு,547
47,2,811,1-1-33-010,010,Kaldemulla,කල්දෙමුල්ල,கல்தெமுள்ள,548
47,3,812,1-1-33-015,015,Soysapura North,සොයියාපුර උතුර,சொய்சாபுர வடக்கு,548A
47,4,813,1-1-33-020,020,Soysapura South,සොයියාපුර දකුණ,சொய்சாபுர தெற்கு,548B
47,5,814,1-1-33-025,025,Dahampura,දහම්පුර,தஹம்புர,548C
47,6,815,1-1-33-030,030,Thelawala North,‍තෙලවල උතුර,தெளவல வடக்கு,549B
47,7,816,1-1-33-035,035,Borupana,බොරුපණ,பொருபண,549A
47,8,817,1-1-33-040,040,Thelawala South,තෙල්වල දකුණ,தெளவல தெற்கு,549
47,9,818,1-1-33-045,045,Lakshapathiya North,ලක්ෂපතිය උතුර,லக்க்ஷபதிய வடக்கு,550A
